"Variable","OR","CI_95_lower","CI_95_upper","P_value"
"age",0.999036882831381,0.99579571496898,1.00228860021609,0.561111649343248
"sexMale",0.911912512685954,0.86581912411435,0.960459763052521,0.000493063346169834
"ethnicityBlack",0.908531721104291,0.77383770350401,1.06667054928327,0.241332534309686
"ethnicityOther",0.795412470237196,0.664911512817507,0.951526610101704,0.0122993345296397
"ethnicityWhite",0.900101478228149,0.819608902209075,0.988499110886705,0.0276639859787802
"BMI",1.00274791600363,0.997049709767585,1.00847868787206,0.34527158829238
"SBP",1.00067914196416,0.999231904540649,1.00212847549384,0.357880268511868
"DBP",1.00023526161507,0.997656572628174,1.0028206158584,0.85824618212783
"total_cholesterol",0.988627105335065,0.965801290481011,1.01199238708452,0.337187644709005
"smoking_statusFormer",1.02498516737842,0.966613220425694,1.08688208597342,0.409417140991226
"smoking_statusCurrent",1.0084804947899,0.934655005209388,1.08813722999732,0.827646671755999
"alcohol_statusOccasional",0.946059494811162,0.875965130861851,1.02176278049075,0.157999473442084
"alcohol_statusRegular",0.972953045959976,0.899916153185666,1.05191758842392,0.491012409089942
"hypertension",1.01557000842941,0.959666215655666,1.07473038562335,0.59276598675549
"diabetes",1.03664598909152,0.943901761575501,1.13850291465272,0.451658735468709
"HbA1c",1.01385774948035,0.981478421464769,1.04730528323517,0.405934783725896
"CRP",1.00452712394785,0.991519475575962,1.0177054184042,0.496976151665511
"LVEF",1.00014640687802,0.995838160252591,1.00447329206313,0.947005343010052
