"","Overall","Normal","Small","Large","p","test"
"n","30000","14329","7726","7945","",""
"age (mean (SD))","55.02 (7.97)","55.05 (8.00)","54.97 (7.96)","55.00 (7.92)","0.744",""
"sex = Male (%)","14505 (48.4)","7227 (50.4)","3604 (46.6)","3674 (46.2)","<0.001",""
"ethnicity (%)","","","","","0.083",""
"   Asian","2405 (8.0)","1149 (8.0)","666 (8.6)","590 (7.4)","",""
"   Black","1130 (3.8)","525 (3.7)","292 (3.8)","313 (3.9)","",""
"   Other","890 (3.0)","445 (3.1)","208 (2.7)","237 (3.0)","",""
"   White","25575 (85.2)","12210 (85.2)","6560 (84.9)","6805 (85.7)","",""
"education (%)","","","","","0.598",""
"   College","9023 (30.1)","4388 (30.6)","2276 (29.5)","2359 (29.7)","",""
"   None","2899 (9.7)","1373 (9.6)","767 (9.9)","759 (9.6)","",""
"   School","10454 (34.8)","4957 (34.6)","2711 (35.1)","2786 (35.1)","",""
"   University","7624 (25.4)","3611 (25.2)","1972 (25.5)","2041 (25.7)","",""
"BMI (mean (SD))","27.02 (4.54)","26.99 (4.56)","27.06 (4.53)","27.03 (4.53)","0.548",""
"SBP (mean (SD))","135.04 (17.90)","134.98 (17.88)","135.20 (18.01)","135.00 (17.81)","0.659",""
"DBP (mean (SD))","81.99 (10.03)","81.99 (10.02)","82.01 (9.94)","81.97 (10.15)","0.963",""
"total_cholesterol (mean (SD))","5.51 (1.11)","5.51 (1.11)","5.50 (1.12)","5.52 (1.10)","0.390",""
"smoking_status (%)","","","","","0.927",""
"   Never","16593 (55.3)","7950 (55.5)","4247 (55.0)","4396 (55.3)","",""
"   Former","8991 (30.0)","4281 (29.9)","2343 (30.3)","2367 (29.8)","",""
"   Current","4416 (14.7)","2098 (14.6)","1136 (14.7)","1182 (14.9)","",""
"alcohol_status (%)","","","","","0.620",""
"   Never","4473 (14.9)","2125 (14.8)","1183 (15.3)","1165 (14.7)","",""
"   Occasional","13502 (45.0)","6460 (45.1)","3427 (44.4)","3615 (45.5)","",""
"   Regular","12025 (40.1)","5744 (40.1)","3116 (40.3)","3165 (39.8)","",""
"hypertension (mean (SD))","0.30 (0.46)","0.29 (0.45)","0.30 (0.46)","0.30 (0.46)","0.293",""
"diabetes (mean (SD))","0.08 (0.27)","0.08 (0.27)","0.08 (0.28)","0.08 (0.27)","0.666",""
"prior_CVD (mean (SD))","0.05 (0.22)","0.05 (0.22)","0.05 (0.22)","0.05 (0.21)","0.141",""
"HbA1c (mean (SD))","5.60 (0.80)","5.59 (0.80)","5.61 (0.80)","5.61 (0.80)","0.254",""
"CRP (mean (SD))","2.00 (1.98)","2.01 (1.98)","2.01 (2.02)","1.97 (1.95)","0.410",""
"hemoglobin (mean (SD))","14.51 (1.50)","14.52 (1.50)","14.51 (1.50)","14.51 (1.48)","0.886",""
"albumin (mean (SD))","45.00 (3.00)","45.01 (3.00)","44.98 (2.98)","44.99 (3.02)","0.691",""
"atrial_fibrillation (mean (SD))","0.03 (0.17)","0.03 (0.18)","0.03 (0.16)","0.03 (0.17)","0.067",""
"LVEF (mean (SD))","62.01 (6.00)","62.06 (6.03)","62.02 (5.99)","61.91 (5.96)","0.207",""
"statin_use (mean (SD))","0.20 (0.40)","0.20 (0.40)","0.20 (0.40)","0.20 (0.40)","0.968",""
"antihypertensive_use (mean (SD))","0.25 (0.43)","0.25 (0.43)","0.25 (0.43)","0.25 (0.43)","0.773",""
