"Outcome","Model","Group","HR","CI_lower","CI_upper","P_value"
"MACE","Model 1","Small LV",15.476485849093,14.6498550309644,16.349760030452,0
"MACE","Model 1","Large LV",0.252027441666689,0.220235627745467,0.288408519562809,2.83717940152347e-89
"MACE","Model 2","Small LV",15.4829673443205,14.65565013677,16.3569869332407,0
"MACE","Model 2","Large LV",0.251639394645678,0.2198954394928,0.28796588543946,1.83600804657033e-89
"MACE","Model 3","Small LV",15.4855578389173,14.6580323683504,16.3598016129527,0
"MACE","Model 3","Large LV",0.251622374086463,0.219879447041856,0.287947873221891,1.82767519712863e-89
"CHD","Model 1","Small LV",15.8422799362183,14.9873412665436,16.7459877715447,0
"CHD","Model 1","Large LV",0.27081358488382,0.237154799665192,0.309249476971013,6.30585709257612e-83
"CHD","Model 2","Small LV",15.8455462263536,14.9901411444928,16.7497645813531,0
"CHD","Model 2","Large LV",0.270595171217128,0.236962545023863,0.309001351579225,5.06651994825377e-83
"CHD","Model 3","Small LV",15.838882369125,14.9837331043572,16.7428365785577,0
"CHD","Model 3","Large LV",0.270526559247207,0.236901067337955,0.308924818619454,4.79095838442968e-83
"HF","Model 1","Small LV",14.9841511970653,14.1876168059266,15.8254053635507,0
"HF","Model 1","Large LV",0.230230966166811,0.20022511673407,0.264733509195571,2.05780782544757e-94
"HF","Model 2","Small LV",14.9872167112204,14.1902090832345,15.8289890889956,0
"HF","Model 2","Large LV",0.229860960729276,0.199902528614621,0.26430911921702,1.30636471620891e-94
"HF","Model 3","Small LV",14.9859893402447,14.1889530848626,15.8277975240837,0
"HF","Model 3","Large LV",0.229742258202703,0.199798299904556,0.264173945570565,1.14171001920146e-94
"stroke","Model 1","Small LV",15.5408513870901,14.7088134803616,16.4199554340724,0
"stroke","Model 1","Large LV",0.26021532654345,0.227642776179146,0.297448560875165,1.18045122916954e-86
"stroke","Model 2","Small LV",15.5814569730836,14.7465957914375,16.4635828388966,0
"stroke","Model 2","Large LV",0.260104052431646,0.227544612109351,0.297322434770953,1.0537830487673e-86
"stroke","Model 3","Small LV",15.5896859197048,14.7542370037524,16.4724415781873,0
"stroke","Model 3","Large LV",0.260046565659838,0.227493044586972,0.297258390621361,1.00468838800484e-86
"death","Model 1","Small LV",4.40938352297477,4.24886140845394,4.57597016791284,0
"death","Model 1","Large LV",0.0714982876262614,0.0629956625515691,0.0811485255719446,0
"death","Model 2","Small LV",4.39778185916375,4.23757274493541,4.5640479691835,0
"death","Model 2","Large LV",0.0712133211649195,0.0627439489287186,0.0808259154536057,0
"death","Model 3","Small LV",4.40036992088593,4.24001004369763,4.56679471064444,0
"death","Model 3","Large LV",0.0712514720039071,0.0627773596255879,0.0808694773562008,0
