"Outcome","Quintile","HR","CI_lower","CI_upper","P_value"
"MACE","Q1",16.3656671371297,15.1010116645138,17.7362329619754,0
"MACE","Q2",4.53895858852684,4.16575584932456,4.94559590469087,1.19012655453937e-261
"MACE","Q3 (Ref)",1,NA,NA,NA
"MACE","Q4",0.583908500723556,0.518028760904356,0.658166424238713,1.2696841866137e-18
"MACE","Q5",0.273871272786666,0.23652142062616,0.31711915926778,3.78832915023037e-67
"CHD","Q1",17.849529244646,16.4175632513727,19.4063935906465,0
"CHD","Q2",4.86715120519253,4.45264745647883,5.32024174061617,4.8573712776758e-266
"CHD","Q3 (Ref)",1,NA,NA,NA
"CHD","Q4",0.709210534886425,0.629773632867649,0.798667261605717,1.43510368890071e-08
"CHD","Q5",0.334295541699378,0.289654281720921,0.385816872915258,9.51661919062708e-51
"HF","Q1",16.3453492805792,15.0667206243468,17.7324880287751,0
"HF","Q2",4.64756693287386,4.26065062623755,5.06961971078505,5.82977896730996e-263
"HF","Q3 (Ref)",1,NA,NA,NA
"HF","Q4",0.63727104418393,0.565918337713384,0.717620117058228,1.03173879180631e-13
"HF","Q5",0.284556489308409,0.245541418265543,0.329770823103899,1.21812075988431e-62
"stroke","Q1",17.1995148068908,15.8388171810322,18.6771086635635,0
"stroke","Q2",4.70199785260715,4.30645193200151,5.1338745108544,3.15203806079467e-261
"stroke","Q3 (Ref)",1,NA,NA,NA
"stroke","Q4",0.632447076721335,0.560512347076399,0.713613726690738,1.03049041767554e-13
"stroke","Q5",0.337147239482919,0.29283463890337,0.388165353377001,1.15017637954834e-51
"death","Q1",4.9237619543055,4.67145174166392,5.18969971720848,0
"death","Q2",2.08813408426378,1.97226421531739,2.2108112696059,5.63267143324316e-141
"death","Q3 (Ref)",1,NA,NA,NA
"death","Q4",0.558556878558249,0.519916319064779,0.600069232575603,4.40445366663113e-57
"death","Q5",0.148002907616091,0.133217142000629,0.164429744805017,3.15124808019582e-277
