"Variable","OR","CI_95_lower","CI_95_upper","P_value"
"age",0.998957328440743,0.995718483975712,1.00220670812596,0.528939964982789
"sex",0.912190393707559,0.866101375733532,0.960732008614607,0.000511981950840804
"ethnicity",0.909838239194289,0.775028396214476,1.06809715043148,0.248158597862679
"BMI",1.00269116171208,0.99699720007528,1.00841764219559,0.354980284986559
"SBP",1.00067303979283,0.999226978228753,1.00212119406867,0.361826976899207
"DBP",1.00025692959046,0.99768017669425,1.0028403375808,0.845231663952688
"total_cholesterol",0.988593702163203,0.965783353418591,1.01194279700238,0.335447480056205
"smoking_status",1.02453143820353,0.966225683529605,1.08635558520136,0.41753982690456
"alcohol_status",0.945976184533279,0.875936513755891,1.02161621036559,0.157041403451268
"hypertension",1.01402660135027,0.958251318694777,1.07304829973681,0.629400655144055
"diabetes",1.03620660234453,0.943567446584029,1.13794104134215,0.45667061368863
"HbA1c",1.01265961843873,0.980347422485674,1.04603682255456,0.447042436483448
"CRP",1.00452576544604,0.991528834351798,1.01769305993468,0.496748551298188
"LVEF",1.00018811497298,0.995882339302008,1.00451250700393,0.931900465644497
