"Outcome","Model","HR","CI_Lower","CI_Upper","P_Value"
"主要复合终点（未调整）","Cox回归",0.653,0.493,0.864,"0.0028196"
"房颤复发（未调整）","Cox回归",0.538,0.479,0.606,"< 2.22e-16"
"全因死亡（未调整）","Cox回归",0.658,0.501,0.863,"0.0025189"
"主要复合终点（多变量调整）","Cox回归",0.673,0.508,0.891,"0.0056679"
"房颤复发（多变量调整）","Cox回归",0.537,0.477,0.605,"< 2.22e-16"
"全因死亡（多变量调整）","Cox回归",0.68,0.518,0.894,"0.0056306"
"主要复合终点（PS加权）","Cox回归",0.673,0.453,1.001,"< 2.22e-16"
"房颤复发（PS加权）","Cox回归",0.537,0.454,0.634,"< 2.22e-16"
"房颤复发（Fine-Gray）","Fine-Gray",0.537,0.475,0.606,"< 2.22e-16"
"房颤复发（PS加权Fine-Gray）","Fine-Gray",0.537,0.475,0.606,"< 2.22e-16"
